Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	À©Õ¹Ì××°Òþ²ØÊôÐÔ3	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	ÌØÊâ×°±¸±êÊ¶£¨¿É¶¨ÒåµÀ¾ßÃû³ÆÑÕÉ«£¬ºóÐøÀ©Õ¹£©
§Þa Ph¸ch §Þa Hµnh Thiªn Lý Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	0	49999	10	0	30	140	140	31	80	80																36	90	32	110	39	2							2	104	163	224	6		18												
§ång Cõu Phi Long §Çu hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	315	315	31	85	85																36	90	32	110	39	6							2	342	237	312	6		19												
§ång Cõu Gi¸ng Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	500	500	31	80	80																36	90	32	110	39	6							1	96	5	39	60	238	19												
§ång Cõu TiÒm Long Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Trang bÞ Hoµng Kim	2	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2	312	239	309	6	420	19												
§ång Cõu Kh¸ng Long Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	0	49999	10	0	30	111	111	31	80	80																36	99	32	90	39	6							2	304	240	151	8	164	19												
§ång Cõu KiÕn Long Ban ChØ 	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	4	49999	10	0																						36	80	39	6									129	130					19												
§Þch Kh¸i Lôc Ngäc Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bÞ Hoµng Kim	2	49999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	6							46	69	113	73	42	164	20												
§Þch Kh¸i Cöu §¹i C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	6							2	306	242	312	6	289	20												
§Þch Kh¸i TriÒn M·ng yªu ®¸i	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	0	30	160	160	31	80	80																36	95	32	135	39	6							2	309	243	312	6	343	20												
§Þch Kh¸i CÈu TÝch B× Hé uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2	423	244	312	6	420	20												
§Þch Kh¸i Th¶o Gian Th¹ch giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	6									129	130					20												
Ma S¸t Quû Cèc U Minh Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang bÞ Hoµng Kim	2	49999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	7					46	69	51	73	43	165	21												
Ma S¸t Tµn D­¬ng ¶nh HuyÕt Gi¸p	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	Trang bÞ Hoµng Kim	0	49999	10	0	30	720	720	31	90	90																36	90	32	210	39	7							4	306	423	419	421	247	21												
Ma S¸t XÝch Ký Táa Yªu KhÊu	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	7							418	309	417	312	6	344	21												
Ma S¸t Cö Háa Liªu Thiªn uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	7							4	344	248	85	6	246	21												
Ma S¸t V©n Long Thæ Ch©u giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	7									129	130					21												
Ma Hoµng Kim Gi¸p Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Trang bÞ Hoµng Kim	0	49999	10	0	30	315	315	31	85	85																36	90	32	110	39	7							2	346	257	312	6	166	22												
Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Trang bÞ Hoµng Kim	4	49999	10	0	31	60	60																			36	95	39	7									1	60	62	95	87	107	22												
Ma Hoµng Khª Cèc Thóc yªu ®¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	7							2	309	254	312	6	420	22												
Ma Hoµng HuyÕt Y Thó Tr¹c	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	111	111	31	80	80																36	80	32	90	39	7							129	130					22												
Ma Hoµng §¨ng §¹p Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	140	140	31	80	80																36	99	32	110	39	7							4	320	255	312	6	256	22												
Ma ThÞ LiÖt DiÖm Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	315	315	31	85	85																36	85	32	110	39	7							2	345	423	307	6	250	23												
Ma ThÞ LÖ Ma PhÖ T©m Liªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	95	39	7									2	317	8	107			23												
Ma ThÞ NghiÖp Háa U Minh Giíi	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10	0																						36	80	39	7									129	130					23												
Ma ThÞ HuyÕt Ngäc ThÊt S¸t Béi	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	Trang bÞ Hoµng Kim	0	49999	10	0																						36	90	39	7									2	309	252	311	6	420	23												
Ma ThÞ s¬n  H¶i Phi Hång Lý 	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	4	49999	10	0	30	140	140	31	80	80																36	99	32	110	39	7							2	320	253	312	6	251	23												
L¨ng Nh¹c Th¸i Cùc KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang bÞ Hoµng Kim	4	49999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	90	32	80	39	8							2	152	6	311	423	167	24												
L¨ng Nh¹c V« Ng· ®¹o bµo	0	2	15	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Trang bÞ Hoµng Kim	3	49999	10	0	30	630	630	31	90	90																36	95	32	130	39	8							2	306	263	313	6	285	24												
L¨ng Nh¹c Né L«i Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	85	39	8									2	309	265	313	6	417	24												
L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bÞ Hoµng Kim	2	49999	10	0																						36	99	39	8									2	347	266	313	8	264	24												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	49999	10	0																						36	80	39	8									129	130					24												
CËp Phong Ch©n Vò KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bÞ Hoµng Kim	2	49999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	135	39	8							46	69	51	73	43	167	25												
CËp Phong Tam Thanh Phï 	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	0	49999	10	0	31	60	60																			36	95	39	8									2	84	62	95	89	107	25												
CËp Phong HuyÒn Ti Tam §o¹n cÈm	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ Hoµng Kim	4	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	8							2	309	259	307	421	425	25												
CËp Phong Thóy Ngäc HuyÒn Hoµng Béi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bÞ Hoµng Kim	3	49999	10	0																						36	90	39	8									2	348	258	313	6	260	25												
CËp Phong Thanh Tïng Ph¸p giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	8									129	130					25												
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	9							113	69	46	73	43	168	26												
S­¬ng Tinh Ng¹o S­¬ng ®¹o bµo	0	2	15	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	Trang bÞ Hoµng Kim	0	49999	10	0	30	720	720	31	90	90																36	95	32	260	39	9							4	306	267	317	6	278	26												
S­¬ng Tinh Thanh Phong Lò ®¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	9							418	309	269	307	6	417	26												
S­¬ng Tinh Thiªn Tinh B¨ng Tinh thñ 	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	140	140	31	80	80																36	90	32	110	39	9							2	349	270	313	6	268	26												
S­¬ng Tinh Phong B¹o chØ hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	9									129	130					26												
L«i Khung Hµn Tung B¨ng B¹ch quan	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	Trang bÞ Hoµng Kim	4	49999	10	0	30	315	315	31	85	85																36	95	32	110	39	9							418	304	152	313	6	272	27												
L«i Khung Thiªn §Þa Hé phï 	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	3	49999	10	0																						36	99	39	9									4	95	26	107	322	278	27												
L«i Khung Phong L«i Thanh CÈm ®¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bÞ Hoµng Kim	1	49999	10	0	30	140	140	31	80	80																36	90	32	110	39	9							418	309	274	424	6	417	27												
L«i Khung Linh Ngäc UÈn L«i	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bÞ Hoµng Kim	2	49999	10	0																						36	85	39	9									2	350	275	273			27												
L«i Khung Cöu Thiªn DÉn L«i giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	0	49999	10	0																						36	80	39	9									129	130					27												
Vô ¶o B¾c Minh §¹o qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	Trang bÞ Hoµng Kim	0	49999	10	0	30	315	315	31	85	85																36	95	32	110	39	9							4	271	351	313	6	352	28												
Vô ¶o Ki B¸n phï chó 	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	Trang bÞ Hoµng Kim	4	49999	10	0																						36	99	39	9									2	313	169	95	8	107	28												
Vô ¶o Thóc T©m chØ hoµn	0	3	0	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	3	49999	10	0																						36	80	39	9									129	130					28												
Vô ¶o Thanh ¶nh HuyÒn Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bÞ Hoµng Kim	1	49999	10	0																						36	90	39	9									418	309	353	307	6	417	28												
Vô ¶o Tung Phong TuyÕt ¶nh ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	9							418	354	320	88	6	423	28												
V« Danh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	10	0																						36	60											129	130					29												
V« Danh Giíi ChØ 	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	10	0																						36	60											129	130					29												
§éng S¸t B¹ch Kim §iªu Long Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	49999	10	0	31	60	60																			36	85											53	6	301	2	11	100	30												
§éng S¸t B¹ch Ngäc Cµn Kh«n Béi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bÞ Hoµng Kim	4	49999	10	0	31	60	60																			36	80											65	6	298	2	11	100	30												
§éng S¸t B¹ch Kim Tó Phông Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	49999	10	0	31	60	60																			36	85											53	6	301	2	11	100	30												
§éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	Trang bÞ Hoµng Kim	2	49999	10	0	31	60	60																			36	85											65	6	298	2	11	100	30												
§Þnh NghiÖp §Çu qu¸n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-3.spr	28	2	2	Trang bÞ Hoµng Kim	0	49999	10	0	30	310	310	31	60	60																36	90																	31												
§Þnh NghiÖp ChiÕn bµo	0	2	20	\spr\item\equip\armor\obj-ma-cloth20-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	630	630	31	60	60																36	90																	31												
§Þnh NghiÖp Yªu ®¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	140	140	31	60	60																36	90																	31												
§Þnh NghiÖp Hé uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	115	115	31	60	60																36	90																	31												
§Þnh NghiÖp ChiÕn ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	140	140	31	60	60																36	90																	31												
§Þnh NghiÖp Ban chØ 	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10	0	31	60	60																			36	90																	31												
§Þnh Quèc §Çu qu¸n	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Trang bÞ Hoµng Kim	0	49999	10	0	30	350	350	31	60	60																36	99																	32												
§Þnh Quèc ChiÕn bµo	0	2	18	\spr\item\equip\armor\obj-ma-cloth14-1.spr	23	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	720	720	31	60	60																36	99																	32												
§Þnh Quèc Yªu c« 	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	160	160	31	60	60																36	99																	32												
§Þnh Quèc Hé uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	135	135	31	60	60																36	99																	32												
§Þnh Quèc ChiÕn ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	160	160	31	60	60																36	99																	32												
§Þnh Quèc Ban chØ 	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10	0	31	60	60																			36	99																	32												
 §å phæ Hoµng Kim - §Þnh Quèc Thanh Sa Tr­êng Sam	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	49999	8	0	30	630	630	31	80	80																36	85											306	2					33												
 §å phæ Hoµng Kim - §Þnh Quèc ¤ Sa Ph¸t Qu¸n	0	7	3	\Spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	Trang bÞ Hoµng Kim	2	49999	9	0	30	260	260	31	70	70																36	75											1	307					33												
 §å phæ Hoµng Kim - §Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	5	1	\Spr\item\equip\boots\obj-shoes06.spr	26	2	2	Trang bÞ Hoµng Kim	1	49999	8	0	30	140	140	31	70	70																36	80											308	2					33												
 §å phæ Hoµng Kim - §Þnh Quèc Tö §»ng Hé uyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	8	0	30	111	111	31	60	60																36	75											1	309					33												
 §å phæ Hoµng Kim - §Þnh Quèc Ng©n Tµm Yªu ®¸i	0	6	1	\Spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	8	0	30	140	140	31	60	60																36	75											1	28					33												
 §å phæ Hoµng Kim - An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	0	\Spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	4	49999	10	0																						36	85											310						34												
 §å phæ Hoµng Kim - An Bang Cóc Hoa Th¹ch ChØ hoµn	0	3	0	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	8	0																						36	80											6	312					34												
 §å phæ Hoµng Kim - An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	9	1	\Spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bÞ Hoµng Kim	1	49999	8	0																						36	75											6	313					34												
 §å phæ Hoµng Kim - An Bang Kª HuyÕt Th¹ch Giíi ChØ 	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	49999	8	0																						36	80											6	311					34												
Thiªn Hoµng Long Long §µi	0	7	4	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	2	49999	6	0	30	315	315	31	75	75																36	60											2	316					35												
Thiªn Hoµng Long B¹ch Long Tøc	0	2	18	\spr\item\equip\armor\obj-ma-cloth13-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	49999	6	0	30	630	630	31	80	80																36	60											2	316					35												
Thiªn Hoµng Long TrÊn Minh Liªn	0	4	1	\spr\item\equip\nick\obj-neck13.spr	36	2	1	Trang bÞ Hoµng Kim	1	49999	6	0																						36	60											6	316					35												
Thiªn Hoµng Long Cöu HiÖn chØ 	0	3	0	\Spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	6	0																						36	60											6	316					35												
Thiªn Hoµng Long Ngäc Tiªu Diªu	0	6	1	\Spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	6	0	30	140	140	31	70	70																36	60											2	316					35												
Thiªn Hoµng Long Hoµng Kim L©n	0	8	1	\Spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	6	0	30	111	111	31	70	70																36	60											2	316					35												
Thiªn Hoµng Long Bµn Long c«i	0	9	1	\Spr\item\equip\waist\obj-waist16.spr	36	1	2	Trang bÞ Hoµng Kim	0	49999	6	0																						36	60											6	316					35												
Thiªn Hoµng Long Long Khèc Thiªn Lý 	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	Trang bÞ Hoµng Kim	4	49999	6	0	30	140	140	31	75	75																36	60											2	316					35												
Thiªn Hoµng Long Né Long §ång	0	3	0	\Spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	6	0																						36	60											6	316					35												
Kim Phong Thanh D­¬ng Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	28	2	2	Trang bÞ Hoµng Kim	2	49999	5	0	30	315	315	31	75	75																36	40											3	845	7				36												
Kim Phong Kú L©n HuyÕt	0	2	18	\spr\item\equip\armor\obj-ma-cloth14-1.spr	22	2	3	Trang bÞ Hoµng Kim	0	49999	5	0	30	630	630	31	80	80																36	40											2	38	6				36												
Kim Phong Tr¹c Liªn Quang	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	1	49999	5	0																						36	30											415	356	6				36												
Kim Phong C«ng CÈn Tam Th¸n	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	5	0																						36	40											2	55	6				36												
Kim Phong §o¹t Hån Ngäc ®¸i	0	6	1	\spr\item\equip\sash\obj-sash09.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	5	0	30	140	140	31	70	70																36	50											2	34	6				36												
Kim Phong HËu NghÖ dÉn cung	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	5	0	30	111	111	31	70	70																36	50											314	846	363				36												
Kim Phong Lan §×nh Ngäc	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	Trang bÞ Hoµng Kim	0	49999	5	0																						36	40											314	847	363				36												
Kim Phong Thiªn Lý Th¶o Th­îng Phi	0	5	1	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	4	49999	5	0	30	140	140	31	75	75																36	30											2	848	102				36												
Kim Phong §ång T­íc Xu©n Th©m	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	5	0																						36	60											314	849	363				36												
HiÖp Cèt ThiÕt HuyÕt Sam	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Trang bÞ Hoµng Kim	2	49999	5	0	30	360	360	31	60	60																36	40	32	50	33	50			38	0			2	83					37												
HiÖp Cèt §a T×nh Hoµn	0	4	1	\spr\item\equip\nick\obj-neck14.spr	36	2	1	Trang bÞ Hoµng Kim	2	49999	5	0																						36	35	38	0									2	87					37												
HiÖp Cèt §an T©m Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	49999	5	0																						36	45	38	0									6	95					37												
HiÖp Cèt T×nh ý KÕt	0	9	1	\spr\item\equip\waist\obj-waist13.spr	36	1	2	Trang bÞ Hoµng Kim	4	49999	5	0																						36	50	38	0									6	79					37												
Nhu T×nh C©n Quèc Nghª Th­êng	0	2	11	\spr\item\equip\armor\obj-fm-cloth14-3.spr	25	2	3	Trang bÞ Hoµng Kim	0	49999	5	0	30	360	360	31	60	60																36	40	32	50	33	50			38	1			6	83					38												
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	0	\spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang bÞ Hoµng Kim	0	49999	5	0																						36	35	38	1									6	87					38												
Nhu T×nh  Phông Nghi Giíi ChØ 	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	49999	5	0																						36	45	38	1									2	95					38												
Nhu T×nh  TuÖ T©m Ngäc Béi	0	9	0	\spr\item\equip\waist\obj-waist16.spr	36	1	2	Trang bÞ Hoµng Kim	3	49999	5	0																						36	50	38	1									2	91					38												
Kim Quang TrÝch Tinh Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	250	250	31	30	30																36	90	32	165	33	65							398	378	399	400	401	402	39												
Kim Quang §­êng Nghª Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	22	2	3	Trang bÞ Hoµng Kim	2	49999	10	0	30	630	630	31	93	93																36	90	32	260									403	388	404	405	406		39												
Kim Quang Lôc PhØ Thóy Hé Th©n Phï	0	4	1	\spr\item\equip\nick\obj-neck20.spr	26	2	1	Trang bÞ Hoµng Kim	2	49999	10	0																						36	90											373	374	375	376			39												
Kim Quang B¾c Kinh Chi Méng	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	3	49999	10	0																						36	90											129	130					39												
Kim Quang B¹ch Kim Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bÞ Hoµng Kim	2	49999	10	0	30	140	140	31	15	15																36	90	32	164									407	388	399	405	408	413	39												
